id,backup_timepoint_id,email_subject,email_sender,email_recipient,email_date,email_size,email_status,mailbox_name,is_important
1,1,xx客户商务订单合同邮件,customer@xxcompany.com,sales@company.com,2026-03-20 09:00:00,399,Exists,sales,FALSE
2,1,会议安排,partner@partner.com,admin@company.com,2026-03-20 15:15:00,1335,Exists,marketing,FALSE
3,1,备份通知,user2@company.com,team@company.com,2026-03-20 18:09:00,1527,Exists,hr,FALSE
4,1,系统通知,partner@partner.com,info@company.com,2026-03-20 11:12:00,964,Exists,engineering,FALSE
5,1,人力资源通知,user2@company.com,info@company.com,2026-03-20 13:12:00,565,Exists,sales,FALSE
6,1,人力资源通知,user3@company.com,support@company.com,2026-03-20 12:39:00,354,Exists,hr,FALSE
7,1,IT维护通知,user2@company.com,support@company.com,2026-03-20 09:07:00,1516,Exists,hr,FALSE
8,1,人力资源通知,client@client.com,manager@company.com,2026-03-20 09:18:00,141,Exists,finance,FALSE
9,1,安全提醒,client@client.com,admin@company.com,2026-03-20 18:05:00,707,Exists,finance,FALSE
10,1,系统通知,service@service.com,team@company.com,2026-03-20 17:57:00,203,Exists,sales,FALSE
11,1,技术问题报告,user3@company.com,support@company.com,2026-03-20 12:35:00,189,Exists,support,FALSE
12,1,销售数据,user3@company.com,team@company.com,2026-03-20 14:03:00,930,Exists,marketing,FALSE
13,1,人力资源通知,user2@company.com,manager@company.com,2026-03-20 16:19:00,1605,Exists,finance,FALSE
14,1,合同审批,service@service.com,team@company.com,2026-03-20 10:15:00,1722,Exists,support,FALSE
15,1,人力资源通知,client@client.com,admin@company.com,2026-03-20 17:20:00,80,Exists,sales,FALSE
16,1,培训资料,client@client.com,support@company.com,2026-03-20 15:46:00,635,Exists,support,FALSE
17,1,系统通知,user1@company.com,support@company.com,2026-03-20 18:09:00,137,Exists,hr,FALSE
18,1,技术问题报告,service@service.com,manager@company.com,2026-03-20 14:41:00,651,Exists,support,FALSE
19,1,销售数据,partner@partner.com,admin@company.com,2026-03-20 18:58:00,1044,Exists,finance,FALSE
20,1,技术问题报告,service@service.com,admin@company.com,2026-03-20 18:03:00,770,Exists,support,FALSE
21,1,会议安排,service@service.com,team@company.com,2026-03-20 16:15:00,730,Exists,marketing,FALSE
22,1,月度总结,user1@company.com,manager@company.com,2026-03-20 11:36:00,142,Exists,hr,FALSE
23,1,客户反馈,service@service.com,admin@company.com,2026-03-20 11:58:00,1775,Exists,finance,FALSE
24,1,产品发布,partner@partner.com,support@company.com,2026-03-20 13:27:00,1652,Exists,hr,FALSE
25,1,项目进度更新,client@client.com,info@company.com,2026-03-20 18:59:00,1089,Exists,finance,FALSE
26,1,会议安排,user3@company.com,info@company.com,2026-03-20 08:20:00,1020,Exists,finance,FALSE
27,1,月度总结,partner@partner.com,team@company.com,2026-03-20 11:40:00,1060,Exists,support,FALSE
28,1,客户反馈,user3@company.com,admin@company.com,2026-03-20 18:13:00,999,Exists,sales,FALSE
29,1,市场分析,partner@partner.com,info@company.com,2026-03-20 08:55:00,1478,Exists,support,FALSE
30,1,合同审批,partner@partner.com,info@company.com,2026-03-20 15:18:00,228,Exists,engineering,FALSE
31,1,财务报表,user1@company.com,info@company.com,2026-03-20 11:58:00,283,Exists,hr,FALSE
32,1,技术问题报告,partner@partner.com,info@company.com,2026-03-20 15:43:00,1753,Exists,engineering,FALSE
33,1,产品发布,user2@company.com,support@company.com,2026-03-20 16:46:00,1612,Exists,sales,FALSE
34,1,合同审批,user1@company.com,info@company.com,2026-03-20 18:10:00,68,Exists,engineering,FALSE
35,1,安全提醒,partner@partner.com,support@company.com,2026-03-20 16:56:00,848,Exists,hr,FALSE
36,1,会议安排,user3@company.com,support@company.com,2026-03-20 09:25:00,1148,Exists,sales,FALSE
37,1,产品发布,user3@company.com,admin@company.com,2026-03-20 13:23:00,825,Exists,marketing,FALSE
38,1,会议安排,user1@company.com,team@company.com,2026-03-20 13:56:00,1646,Exists,finance,FALSE
39,1,产品发布,user1@company.com,admin@company.com,2026-03-20 14:14:00,1491,Exists,sales,FALSE
40,1,人力资源通知,user1@company.com,info@company.com,2026-03-20 09:01:00,421,Exists,finance,FALSE
